0.6,Global online education is a key to democratizing access to learning and overcoming societal ills such as poverty ,OpEd Columnist Revolution Hits the Universities
2.4,Hollywood Accepts Chinese Censorship (Will Movies Get Any Better),In Hollywood Movies for China Bureaucrats Want a Say
3.8,Bloomberg Assault weapon ban tough sell  Pub. enemies 1 and 2 according to minor mayor Big Gulps and guns. ocra,Bloomberg Assault weapons ban is tough sell
4.2,Car bomb detonates outside Afghan intelligence agency; casualty toll unclear.,Powerful Car Bomb Explodes Outside Afghan Intelligence Agency
4,Whats in Feinsteins gun bill    tgdn pjnet,Whats in Feinsteins bill
2.2,Linda Greenhouse Roe v. Wade was abt drs facing prosecution for acting in what they saw as patients best interests,Opinionator Misconceptions About Roe v. Wade
2,Special measures for Beijing polution,Smog cloud blankets Beijing
3.4,SYNTHAX_tERROR 2  "American Taliban" John Walker Lindh wins case over Muslim group prayer in prison,American Taliban wins right to group prayer
2.8,The questions Oprah shouldve asked Lance Amstrong,Hard Questions for Lance Armstrong
3,Cc   At least 90 killed in Brazil nightclub fire ",Hundreds killed in Brazil nightclub fire
0.8,Not a tear here Red Brigades jagoff dies year older than me fuck him,Prospero Gallinari a Terrorist Is Dead at 62
1,so many places to go ,The 46 Places to Go in 2013
4.2,As California Bounces Back Governor Calls For Lofty Goals,With California Rebounding Governor Pushes Big Projects
4.2,NYTimes Leishmaniasis A Genetic Link Found in FarFlung Victims of a Lethal Form of a Parasitic Disease,Global Update A Genetic Link Found for Victims of Lethal Form of Leishmaniasis
4.4,Jesus  At least 245 dead as fire sweeps through nightclub in Brazil.,Scores Dead as Fire Sweeps Through Nightclub in Brazil
0.4,So the company mad isnt this what most companies are doing,U.S. man outsources job to China surfs cat videos
1.6,Taking Aim  Stopgunviolence Congress NRA,Obama Gun Policy and the N.R.A.
4,NRA releases target shooting app hmm wait a sec ,NRA draws heat for shooting game
4.8,Broken limbs torn lives in northern Mali Africa conflict humanrights,Broken limbs torn lives in Mali
3,slams guest over AR15s,Piers guest clash over AR15s
3.2,A truckload of flaming brown cheese closed a road tunnel in Arctic Norway for the last six days.,World Briefing | Europe Norway Cheese Fire Shuts Tunnel
2,Sex abuse common but so is our inability to face road range of behaviors common to humans A Pedophile in Plain Sight,Opinion At Poly Prep a Pedophile in Plain Sight
3.2,Death toll climbs to 220 in Brazil nightclub fire official says.,Hundreds killed in Brazil nightclub fire
3.8,(I love him) 10 reasons we cant get enough Gosling ,Why we cant get enough Gosling (Duh)
3.6,U.S. withdrawal is tough love for Afghans,U.S. tough love for Afghan troops
1.5,NYTimes Andrew Revkin on next steps for China in cleaning up pollution.,Charting a PostPollution Path for Cities  From London 1952 through Beijing 2013
3.6,Justice Clarence Thomas Breaks His SilenceTELL THE JUSTICE THAT COURTESY WILL NOT PROTECT CITIZENS RIGHTS.GET WITH IT,Justice Thomas Breaks His Silence in Court
3.4,NATO Missile battery opens on Syrian border  this could set forth an unwanted chain of events here.,NATO Patriot missile battery operational on Syrian border
4,Whats wrong with the Boeing Dreamliner ". Airlines must be SO happy,Whats wrong with the Dreamliner
4.6,Hopefully not together  Richard Pryor & Dick Cheney Focus of Showtime Documentaries ",Richard Pryor and Dick Cheney Focus of Showtime Documentaries
3.4,We will pass a milestone this year the majority of the fish we eat will be farmraised rather than wild,A Milestone Looms for FarmRaised Fish
1,Design design design. Were on the tail end of technology being special says John Maeda.,Disruptions Disruptions Design Is Driving Technology Forward
4.4,Interesting article on the CNN homepage. "Mickleson has a point on taxes.",Mickelson has a point on taxes
3.2,Pictures of the Day Pakistan Syria Indonesia Germany Phillipines and Mali.,Pictures of the Day Pakistan and Elsewhere
3.8,How Vine video may change Twitter in,6 ways Vines six seconds may change Twitter
1.2,+1 MT  "I loathe writing with a kind of phobia  only a sort of perverse masochism keeps me at it" Styron,Selected Letters of William Styron
4.6,SPORT MT  Lance Armstrong confesses to doping. Next step Testifying against the higherups in cycling.,Armstrong Admits Doping and Says He Will Testify Against Cycling Officials
4,Bloomberg chips in a billion,Bloomberg gives $1.1B to university
4.4,U.S. governmentsupported rescue mission of French hostage in Somalia failed.,U.S. supported Frances failed hostage rescue in Somalia
4.4,NYTimes Is Delhi So Different From Steubenville USA,OpEd Columnist Is Delhi So Different From Steubenville
2.6,Cardinal Mahony abuser of liturgies and shielder of child abusers. So sad and frustrating.,Mahony Shielded Abusive Priests Documents Show
1.6,"Tennis Djokovic claims Aussie triumph  ZmerchNews dot Com",Djokovic 3 Aussie wins in a row
2,Man Crapping Killed in Fall Between Subway Cars,Train Kills Man in 125th Street Subway Station
2.6,US details help in failed hostage rescue. Somalia France,U.S. supported Frances failed hostage rescue in Somalia
4.4,Microsofts Windows 8 sales are OK not great  CNNMoney,Microsofts Windows 8 sales are big  just not big enough
3.4,Internet Activist AaronSwartzCreator of RSS Is Dead at 26 Suicide. Was the pressure of pending lawsuits too much,Aaron Swartz Internet Activist Dies at 26
4,The truth about publicity   Bad publicity does exist. pr media,Maybe There Is Such a Thing as Bad Publicity
3.6,Revolution Hits the Universities by   distance education sustainability,OpEd Columnist Revolution Hits the Universities
3.8,VICKI HUDDLESTON  Why We Must Help Save Mali,OpEd Contributor Why We Must Help Save Mali
4.4,This is a weird article. "Ray Kurzweil Says Weâ€™re Going to Live Forever",Talk Ray Kurzweil Says Were Going to Live Forever
1,Daannngg  Lance Armstrong tells Oprah he couldnt have won 7 Tour de France titles without doping ,Armstrong stripped of Olympic medal
2.6,Apple makes a $13.1 billion profit sells 28% more iPhones and 48% more iPads. Stock dips 11%,Apples Profits Are Flat and Stock Drops
4.6,When does life begin Catholic hospital argues that an embryo is not a person.,Catholic hospitals lawyers argue fetus not a person
3.8,Two years after the Egyptian Revolution  U.S gets it wrong on Egypt again ,Opinion U.S gets it wrong on Egypt again
4.6,After Armstrong Admits Doping 2 Oprah years 2 late he now says He Will Testify Against alleged Doping Officials,Armstrong Admits Doping and Says He Will Testify Against Cycling Officials
1.8,Wait bribing kids is bad notmomoftheyearafterall,This Life Modifying a Childs Behavior Without Resorting to Bribes  This Life
2.6,Disney s new videogame  via NYTimes Video Game Combines the Worlds of Disney,Media Decoder Blog New Video Game Features Disney and Pixar MashUps
4.4,In the Gowanus Canal a dolphin,Dolphin Swimming in Gowanus Canal
4,Senator Schumer Says Hes Satisfied With Chuck Hagel on the Mideast. His endorsement should settle that issue.,Schumer Says Hes Satisfied With Hagel on Mideast
4.2,Producer of popular gunrelated videos shot. Every gun death is a tragedy.,Producer of popular gunrelated videos found fatally shot
0,interesting and sensible,Opinionator Back When I Was Packing
3.4,Sign of inaccessible culturally incompetent mainstream care As Bodega Clinicas Fill Void Health Officials Are Torn,Bodega Clinicas Draw Interest of Health Officials
2.4,Romes colorful Colosseum,Romes Colosseum gives up secrets
4.8, Samsung profit at record $6.6 billion ",Samsung profit soars to $6.6B record
3.2,Spanish police seize items intended for Iran. Qu mal rollo ,Spanish police say seized items intended for Iran nuclear program
0.8,This is a pretty amazing read. howstuffworks NYTimes Coins Bills and the National Debt,Economix Blog Bruce Bartlett Accounting for a $1 Trillion Platinum Coin
1.6,Fitness Center in a Hotel Room,Urban Athlete A Hotel Room Workout From Nicole Glor
1.4,Im surprised by the lack of coverage of the N Ireland riots.,Police deploy water cannon at Northern Ireland riot
4,Saudis defend SriLankan maids execution,Saudis defend maids beheading
3.6,The worst kind of poor flying judgement. Stunt plane barely missing two people prompts FAA probe.,Video of stunt plane barely missing two people prompts FAA probe
2.2,on Hillary Clintons FP approach,IHT Rendezvous The Clinton Doctrine of American Foreign Policy
2.6,An Insider Returns to Politics in Italy memofromrome politics,Berlusconi Stirs Up Elections in Italy
3.6,Sign of the apocalypse Voice of Charlie Brown arrested charged. ,Good grief Charlie Brown actor charged
3.8,A really nicely written story In the Subways a Voice to Stir the Soul,In the Subways Geechee Dans Voice Stirs the Soul
4.2,CES keynote Young people today are born mobile  hitech,CES Young people are born mobile
2.6,What prevents people from being able to die at home is not their medical needs but the needs of their caregiver hpm,The New Old Age Blog What You Need to Bring Your Loved One Home to Die
3,U.S. Warplanes Enter Somalia Airspace MR. POTUS; WRITE ANOTHER LETTER&TELL FRENCH WERE NOT IN THE MOOD FOR THEIR MESS.,U.S. Warplanes Enter Somali Airspace
2.8,Climate Change at CNN Next step Obamas State of the Union speech on February 12 .,Climate change activists to Obama Steer clear of Congress
3.4,RSS and Reddit codevelopper Aaron Swartz commits suicide,Online activist Aaron Swartz commits suicide
4.6,Charlie Brown voice actor charged,Good grief Charlie Brown actor charged
0,NJFF is showing this film on Jan 26 at Rutgers University,Our Generation Set for Life Documents Crisis Among Baby Boomers
2.5,Dreamliner having fitful rollout. How tough is this for Boeing,Deepening Crisis for the Dreamliner
2.8,What We Donâ€™t Know Is Killing Us  The gun industry cant handle the truth.,Editorial What We Dont Know Is Killing Us
3.8,India Ink Woman Raped by Seven Men in Punjab Police Say Police said Sunday that a 29yearold woman had been  ,India Ink Woman Raped by Seven Men in Punjab India Police Say
5,Photos KimJongUn and his army forces,Photos Kim Jong Un and his military
3.4,Indonesian official Rape victims enjoy it Oh hell no they dont,Wouldbe judge suggests women enjoy rape
2,So wait you think I want to search Facebook and use Bing as the back up  ha.,Bits Blog Facebook Unveils a New Search Tool
3,ICYMI Facebook unveiled a new search tool today "Graph Searchl",Bits Blog Facebook Unveils a New Search Tool
4.4,"humanitarian emergency."declared by Aid groups in Syria ",Humanitarian emergency in Syria
3.4,President  If she wants it,President Hillary Clinton If she wants it
0,They deserve such unkind words.,Kenyan rangers hunt poachers who killed 11 elephants for ivory
0,A great piece in the NYT mag on story lit and media.,Riff Once Upon a Time There Was a Person Who Said Once Upon a Time
3.8,Review Facebooks Graph Search not v. useful  CNN  "only two of my 526 friends like cats" say no more,Review Facebooks Graph Search is not very useful
4.4,Ukraine signs shale gas drilling deal with Shell at Davos energy marketentry,Ukraine Signs Drilling Deal With Shell for Shale Gas
3.6,By the numbers Women in the U.S. military nah not good idea,By numbers Women in U.S. military
1.2,Try something new on your next vacation.,Exotic culinary tours around the world
4.25, Britney Spears calls off engagement " loool CNN reports this Where is this world going,Britney Spears Jason Trawick call off engagement
2.2,Pooping Man Killed in Fall Between Subway Cars,Train Kills Man in 125th Street Subway Station
4,Thank goodness.  Man charged with murder in Philadelphia doctors death. ,Man charged with murder in doctors death source says
4.2,Teen murdered in West Bank by Israeli military occupation force  activists say ,Teen shot in West Bank by Israeli military activists say
1.4,live to eat or eat to live I take the former.,Big City New Generation Confronts Unaffordable Luxury of Food
4.6,Boosting Your Flu Shot Response With Exercise,Exercise Can Boost Flu Shots Potency
2.4,Smartphones are lifes remote control ,Smartphones Can Now Run Consumers Lives
3.4,Er diab   At least 245 killed in Brazil nightclub fire ",Hundreds killed in Brazil nightclub fire
3,2013 Oscar nominations Who got,2013 Oscar nods Who got snubbed
0.8,NYT reports on my intvu with Ehud Barak links to Daily Beast  wef israel iran nukes war,Defense Official Hints That Israel Is Stepping Back From Plans to Unilaterally Attack Iran
2.5,Convicted in Thailand of *implying* an insult to the king. There was no mention of the kings name in the speech.,In Thailand a Broader Definition of Insulting Royalty
1.8,"Escape from La Crosse" The Preppers Next Door,The Doomsday Preppers of New York
3.8,Can Oprah save Lance Armstrong  Shes not convinced  Doprah,Can even Oprah save Lance Armstrong
4,Notre Dame linebacker victim of a Catfish type hoax,Notre Dame linebacker says he is victim of hoax
2.2,Morning athletic inspiration (let everyone compete) Forging Path to Starting Line for Younger Disabled Athletes  NYT,Disabled Athletes Suit Up Raising Questions of Logistics and Fairness
1.2,Michael R. Bloomberg credits JohnsHopkinsUniversity for turning him into a leader,At $1.1 Billion Bloomberg Is Top University Donor in U.S.
3.4,This is ludicrous. Sheriff I wont enforce Obamas gun laws. Really,Sheriff wont enforce unconstitutional gun laws
4,Man outsources own job to China,U.S. man outsources job to China surfs cat videos
3.6,Morsis Slurs Against Jews in 2010 Uncovered,Morsis Slurs Against Jews Stir Concern
0,thins just dont add up just when North Korea successfully lunched a rocket now America allows this. Or am I ,How Americas top general came to endorse women in combat
0.4,you are an inspiration  Keepfighting,The front lines in fight for women
2.8,Study Collegeeducated weathered downturn best,Study Shows College Degrees Value During Economic Downturn
4,sadness. Dolphin stuck in polluted NYC canal dies. ,Dolphin stuck in New York canal dies
3.4,"Errors may have exposed veterans to viruses" Uh oh ,Insulin injection errors may have exposed veterans to viruses
0.6,Today I learned "Currently there is no federal law that defines gun trafficking as a crime." I am at a loss for words.,Senator Unveils Bill to Limit Semiautomatic Arms
2.4,President Obama turning to ExProsecutor Mary Jo White to Be Securities and Exchange Commission (S.E.C.) Boss,Mary Jo White to Be Named New S.E.C. Boss
3.4,Wow. A brief but eyeopening piece in the  A Pedophile in Plain Sight,Opinion At Poly Prep a Pedophile in Plain Sight
4,Good read Why the Net grieves Aaron Swartz ,Why world grieves Aaron Swartz
4.2,Finally Armstrong Admits Doping and Says He Will Testify,Armstrong Admits Doping and Says He Will Testify Against Cycling Officials
0.6,Great informative article that shows PepsiCos cooperation with resolving this health issue and placing consumers first,Gatorade Listens to a Teen And Changes Its Formula
3.8,How the US has changed in my lifetime,From Reagan to Obama how we have changed as a nation
4.8,The New York Times Chinese Firm Buys U.S. Solar StartUp,Chinese Firm Buys an American Solar Technology StartUp
4.4,In France Protesters rally against allowing samesex marriage,French rally No to samesex marriage
4.4,FOLLOW THE DINERO Cuomo Raises $22.5 Million for Reelection Bid,Cuomo Raises Nearly $22.5 Million for Reelection Campaign
2.2,China is investing in education   highered edpolicy,Next MadeinChina Boom College Graduates
3.2,Can Livestrong survive Lance Armstrong doping admission ,Livestrong has life after Lance
3.6,Build a fence around your good health Your top flu questions answered.,Your top 10 flu questions answered
3.2,Johnson & Johnson Aware of 40% Failure in Hip Implant  hipimplant,Maker Aware of 40% Failure in Hip Implant
4.2,Is there a worse way to live  (cc ) JIDF,Is there a worse way to live than this
2.2,Gun violence is absolute a publichealth issue. Good work  on your gun reform for a generation  itsastart,Editorial President Obamas Plan for Gun Reform
3.6,AZ Gov Jan Brewer changes her mind and will expand Medicaid  Medicaid,National Briefing | Southwest Arizona Governor Relents on Medicaid
4.6,Worth reading for the column excerpts Pauline Phillips Dear Abby Dies at 94,Pauline Phillips Flinty Adviser to Millions as Dear Abby Dies at 94
3,Myanmar s Fight With Armed Rebels Edges Toward China  burma kachin,Myanmar Fighting Edges Toward China
3.4,Truly a sad day. At least 90 killed in Brazil nightclub fire,Hundreds killed in Brazil nightclub fire
2.2,US inadvertently trained rebels French Strikes in Mali Supplant Caution of U.S.,French Jets Strike Deep Inside IslamistHeld Mali
3.4,Calorie bomb on the menu  will make eaters feel guilt after finish those meals,9 calorie bombs at restaurants
3.6,Facebook was the most popular mobile app in the United States in 2012,Facebooks mobile app takes top spot
4.6,An Alarm in the Offing on ClimateChange      ExtremeWeather globalwarming eco,An Alarm in the Offing on Climate Change
4,Syria Deadly airstrikes in Damascus,Syria Launches Deadly Airstrikes in Damascus Suburbs
1.8,Two of our favorite partners  and  have teamed to bring more music to your commute.,Ford Announces InCar Voice Commands for Amazons Cloud Music
3.6,Amazing you can play violent shooting games &nobody says anything but the NRA draws heat over new targetshooting game,NRA draws heat for shooting game
4,Worth Watching. "Set for Life" Documenting a Generations Fall.   work unemployment babyboomer,Our Generation Set for Life Documents Crisis Among Baby Boomers
4,Dreamliner fix Its not easy   this a big mess that is not easy.,787 Dreamliner fix Its not easy
4,NYT Editorial What We Donâ€™t Know Is Killing Us  research guns violence,Editorial What We Dont Know Is Killing Us
0,Think so They dont think so,President Hillary Clinton If she wants it
0.4,Pulitzerwinning poet Tracy K. Smiths Sunday routine,Poetry Puppets and Playgrounds
2.8,Position "eliminated". Hmm. I read "exterminated". Times Executive Is Leaving,Times Communications Executive Is Leaving
4.2,Mr. Drummond yep showing my age Conrad Bain Father on Diffrent Strokes Dies at 89,Conrad Bain Actor on Diffrent Strokes Dies at 89
3.8,Saudi Arabia defends maids execution,Saudis defend maids beheading
0.8,"Facebook has a lot of data but its very noisy data.",Fortunes of Facebook May Hinge on Searches
2,CNN Recent nightclub tragedies On Saturday a massive fire at the Kiss nightclub in southern Brazil killed at l ,Deadly blazes Nightclub tragedies in recent history
3.8,North Korea sendin them threats again,North Korea Issues Blunt New Threat to United States
4.2,Were all human No MORE DEATH Please Another Tibetan sets himself on fire dies to protest Chinese rule,Tibetan sets himself on fire to protest Chinese rule
3.6,CocaCola joining the fight on obesity,CocaCola weighs in on obesity fight
2,Prayers for Burt Reynolds,Burt Reynolds feeling better but still in ICU rep says
1.2,Taliban is plural but that is apparently too esoteric for CNN or any other journalists .,American Taliban wins right to group prayer
2.4,Saudi activists say they wont be silenced~~I hope they find a way to get their rights peacefully,Saudi activists say kingdom trying to silence them
4.6,When doctors dont listen what can you do,What to do when doctors dont listen
2.2,Jodie Foster would care more about Syria Launching Deadly Airstrikes in Damascus Suburbs,Syria Launches Deadly Airstrikes in Damascus Suburbs
0.8,Bending the Steakhouse Rules food eatingout,Restaurant Review Arlington Club on the Upper East Side
3,Excellent step with tricky legal issues.New York Lawmakers Reach Deal on New Gun Curbs  law cdnpoli,New York Legislators Hope for Speedy Vote on New Gun Laws
3.6,Anonymous threatens Justice Dept. Anonymous threatens Justice Dept,Hacktivist group threatens Justice Department
3.8,At least 245 killed in Brazil nightclub fire such a shame,Hundreds killed in Brazil nightclub fire
3.4,Internet addiction of the day What Happens When You Cast Lindsay Lohan in Your Movie,Here Is What Happens When You Cast Lindsay Lohan in Your Movie
1,Great piece by  in NYT showing China too has what McKinsey sees as a global educationtowork problem,Chinese Graduates Say No Thanks to Factory Jobs
2.2,On the virtues of procrastination This Was Supposed to Be My Column for New Years Day,Findings Positive Procrastination Not an Oxymoron
4,France Were not the pacifists you think we are   Mali,Why France is not pacifist nation
3.8,The Bizarre World of Online Relationships Image of Manti Teo Becomes a Puzzle as Theories Swirl,Image of Manti Teo Becomes Puzzle as Theories Swirl
3.8,Washingtons Economic Boom Financed by You  Real life "Hunger Games",Washingtons Economic Boom Financed by You
0.4,Finally confirmed  chapped lips are the first sign youve got Mad Cow disease.,Opinion Hypochondria An Inside Look
2.8,Swatch plays a big hand on $1B Harry Winston acqusition  get it big hand  iexplainmyjokes,Swatch to Buy Watch and Jewelry Business of Harry Winston for $750 Million
4.6,States get extension on healthexchange timetable  States Get Extra Time to Set Up Exchanges  ACA HCR,States Will Be Given Extra Time to Set Up Health Insurance Exchanges
2.4,"Live by the sword   " Sad and ironic. Producer of popular gunrelated videos shot,Producer of popular gunrelated videos found fatally shot
4.6,Kobe Bryant wife to call off divorce  yaayy lol.,Kobe Bryant and wife call off divorce
2.6,Excellent Obama accelerating troops withdrawal from Afghanistan several months ahead of schedule ,Obama Karzai to speed military transition
3.4,obit Vincent Sombrotto leader of 1970 strike that shut post offices across country til Nixon sent the National Guard,Vincent Sombrotto Who Led Postal Strike Dies at 89
3,So heartbreaking  At least 90 killed in Brazilian nightclub fire officials say. ,Hundreds killed in Brazil nightclub fire
3.6,More reason to review a more progressive prodomestic tax structure "Americas Productivity Climbs but Wages Stagnate",News Analysis Americas Productivity Climbs but Wages Stagnate
3.6,This is interesting "What We Donâ€™t Know Is Killing Us"  .,Editorial What We Dont Know Is Killing Us
2.6,When i first saw this sing guy on the subway i thought he needed an article. And NYT has delivered,In the Subways Geechee Dans Voice Stirs the Soul
3.4,Germany to Move 674 Tons of Gold from Downtown Manhattan to Frankfurt ,Germany to Repatriate Some of Its Gold Reserves
1.2,This just warmed my heart Ada Bryant and Robert Haire,Ada Bryant Robert Haire  Weddings
3.8,New York City Ties Doctors Income to Quality of Care,New York City Hospitals to Tie Doctors Performance Pay to Quality Measures
4.6,NY Times Dot Earth Blog Is Wild West Era for Fracking Coming to an End,Is Wild West Era for Gas Drilling Coming to an End
2.6,Children handcuffed 4 violating dress code MS fills school2prison pipeline reports  grantee .,Report Criticizes School Discipline Measures Used in Mississippi
1.6,Congratulations to Fruitvale and BloodBrother Sounds like Sundance had some powerful films this year.,The Carpetbagger Fruitvale Drama With Little Advance Buzz Wins at Sundance
3.8,Sleep perchance to dream And our memories not unseem MT  Brain ageing & SleepRelated Memory Decline ,Brain Aging Linked to SleepRelated Memory Decline
2.8,My PBK membership finally explained. Parents Financial Support May Not Help College Grades,Parents Financial Support Linked to College Grades
4.2,Tennis Sharapova takes on boys,Sharapova takes on Australian boys
1.6,FDA may find that poop is a drug. NYTimes When Pills Fail This er Option Provides a Cure,Disgusting Maybe but Treatment Works Study Finds
2.2,Only great things can happen at the cheese monger  In the Dairy Case Ripe Prose,Creative Cheesemongers Pen Clever Descriptions
2.8,Peter Likes DealBook Dell Shares Rise on News Company May Go Private,DealBook Dell Shares Surge After Report of Possible Buyout
4,Kaepernick Backs Harbaughs Gamble With Playoff Win,Kaepernick Responds to Harbaughs Gamble With Resounding Performance
3.8,Republican Governors Open New Front in Tax Debate Offering Bold Solutions,The Caucus Republican Governors Open New Front in Tax Debate
1.4,For the record I chopped my hair into "The Karlie" before Karlie ; ),The Karlie Is Turning Heads
1.2,Familiarize yourselves  NorthKorea,For the U.N. and North Korea Game On
3.6,New mutations discovered in melanoma  Useful in decoding how it develops.   cancer,New Mutations Discovered in Melanomas
4.4,Not so good news . NYTimes German Economy Shrank in Fourth Quarter,German Economy Probably Shrank in Fourth Quarter
4.4,U.N. agencies Stop the suffering in Syria  Again. Powerless.,U.N. Stop the suffering in Syria
1.8,Conservative writer Nicholas Kristof Guns are "an instrument not of protection but of escalation.",OpEd Columnist Lessons From Guns and a Goose
